entry_id,player_id,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
1,1,CHI,36.0,198.12,99.79024,55,5.7,16.1,3.1,16.1,0.18600000000000003,0.32299999999999995,0.1,0.479,0.113,1996
2,1,CHI,37.0,198.12,99.79024,80,4.7,15.0,2.9,6.7,0.16899999999999998,0.319,0.08800000000000001,0.45899999999999996,0.11199999999999999,1997
3,1,LAL,38.0,200.66,95.25432,23,2.1,11.2,1.3,-1.4,0.114,0.348,0.065,0.38799999999999996,0.063,1998
4,1,DAL,39.0,200.66,95.25432,12,2.8,14.3,1.2,-7.1,0.136,0.35100000000000003,0.064,0.457,0.046,1999
5,2,LAC,28.0,215.9,117.93392,15,2.3,1.5,0.3,12.3,0.078,0.151,0.175,0.43,0.048,1996
6,2,BOS,30.0,218.44,129.27372,16,0.7,1.2,0.5,-29.2,0.10099999999999999,0.17600000000000002,0.175,0.31,0.2,1998
7,3,TOR,39.0,205.74,95.25432,9,0.8,1.0,0.4,-2.1,0.105,0.102,0.10300000000000001,0.376,0.14800000000000002,1996
8,4,DAL,24.0,203.2,100.697424,64,3.7,2.3,0.6,-8.7,0.06,0.149,0.16699999999999998,0.39899999999999997,0.077,1996
9,5,MIA,34.0,205.74,108.86208,27,2.4,2.4,0.2,-11.2,0.109,0.179,0.127,0.611,0.04,1996
10,6,HOU,38.0,200.66,97.52228000000001,52,8.2,2.7,1.0,4.1,0.034,0.126,0.22,0.541,0.102,1996
11,6,HOU,39.0,200.66,97.52228000000001,75,8.4,2.0,1.2,-3.9,0.040999999999999995,0.084,0.20199999999999999,0.524,0.10300000000000001,1997
12,6,HOU,40.0,200.66,97.52228000000001,3,4.0,0.7,0.3,-20.8,0.0,0.154,0.292,0.462,0.063,1998
13,7,LAL,25.0,198.12,86.18248,80,17.2,4.1,3.4,4.1,0.035,0.091,0.209,0.5589999999999999,0.149,1996
14,7,LAL,26.0,198.12,90.7184,80,16.8,3.8,3.1,10.3,0.034,0.083,0.196,0.591,0.133,1997
15,7,CHH,27.0,198.12,90.7184,50,15.6,3.9,3.7,5.8,0.032,0.086,0.19899999999999998,0.546,0.17,1998
16,7,CHH,28.0,198.12,90.7184,72,20.1,4.8,4.2,6.3,0.033,0.10300000000000001,0.23600000000000002,0.555,0.191,1999
17,7,MIA,29.0,200.66,87.996848,63,17.4,4.6,2.7,3.6,0.04,0.115,0.24100000000000002,0.5529999999999999,0.15,2000
18,7,MIA,30.0,198.12,90.7184,81,18.3,4.7,3.2,1.0,0.023,0.115,0.22699999999999998,0.546,0.152,2001
19,7,MIA,31.0,198.12,95.25432,47,18.5,4.8,3.7,-2.5,0.022000000000000002,0.129,0.23199999999999998,0.551,0.184,2002
20,7,MIA,32.0,198.12,90.7184,81,17.3,3.8,3.2,1.3,0.015,0.107,0.225,0.5379999999999999,0.16,2003
21,7,MIA,33.0,198.12,90.7184,80,12.7,5.1,2.7,9.9,0.016,0.14400000000000002,0.166,0.556,0.11199999999999999,2004
22,7,MEM,34.0,198.12,90.7184,75,11.8,3.7,2.4,6.5,0.018000000000000002,0.12,0.182,0.542,0.124,2005
23,7,MIA,35.0,198.12,90.7184,64,7.7,3.0,1.7,-1.1,0.023,0.11599999999999999,0.149,0.542,0.111,2006
24,7,DAL,36.0,198.12,90.7184,47,3.7,2.8,1.5,7.4,0.023,0.145,0.11,0.473,0.105,2007
25,8,LAL,28.0,213.36,113.398,77,14.9,8.0,1.6,3.3,0.095,0.183,0.222,0.52,0.087,1996
26,8,LAL,29.0,213.36,115.66596000000001,81,10.1,5.6,1.0,1.7,0.09300000000000001,0.201,0.223,0.527,0.075,1997
27,8,CHH,30.0,213.36,115.66596000000001,49,12.6,8.1,1.4,1.3,0.10400000000000001,0.214,0.214,0.528,0.091,1998
28,8,CHH,31.0,213.36,115.66596000000001,78,12.7,7.6,1.7,2.7,0.076,0.187,0.2,0.5,0.087,1999
29,8,CHH,32.0,213.36,124.7378,78,13.1,7.8,1.3,4.3,0.076,0.218,0.23,0.505,0.08,2000
30,8,CHH,33.0,213.36,126.552168,77,13.9,6.9,1.3,0.5,0.07,0.215,0.235,0.5579999999999999,0.084,2001
31,8,SEA,34.0,213.36,126.552168,56,6.1,3.2,0.9,4.9,0.065,0.18,0.228,0.483,0.111,2002
32,8,DET,35.0,213.36,126.552168,65,5.6,3.2,0.7,5.1,0.07200000000000001,0.204,0.228,0.49,0.08900000000000001,2003
33,8,DET,36.0,213.36,126.552168,40,3.0,2.3,0.5,-0.6,0.092,0.2,0.218,0.408,0.08900000000000001,2004
34,9,ATL,29.0,193.04,86.18248,71,5.7,1.6,1.3,-0.3,0.036000000000000004,0.076,0.172,0.539,0.141,1996
35,9,ATL,30.0,193.04,86.18248,59,9.3,2.4,2.0,-1.9,0.027000000000000003,0.087,0.18600000000000003,0.563,0.14300000000000002,1997
36,9,CHH,31.0,193.04,86.18248,44,5.0,1.8,2.1,-3.8,0.035,0.095,0.172,0.552,0.23199999999999998,1998
37,9,CHH,32.0,193.04,86.18248,7,1.0,0.6,0.7,-13.6,0.0,0.11800000000000001,0.10300000000000001,0.5,0.278,1999
38,9,CHH,33.0,193.04,87.089664,43,2.4,1.2,0.9,-1.5,0.04,0.099,0.174,0.42200000000000004,0.172,2000
39,9,LAC,34.0,190.5,86.18248,6,0.8,0.0,0.8,-0.3,0.0,0.0,0.106,0.38799999999999996,0.313,2001
40,10,MIL,28.0,182.88,72.57472,82,6.9,1.5,3.0,-1.2,0.018000000000000002,0.081,0.177,0.557,0.262,1996
41,10,MIL,29.0,182.88,68.945984,81,7.3,1.3,2.8,-6.4,0.013999999999999999,0.061,0.19399999999999998,0.485,0.233,1997
42,10,NJN,30.0,182.88,68.945984,35,2.8,1.0,1.3,-7.5,0.024,0.096,0.21100000000000002,0.449,0.305,1998
43,10,NJN,31.0,182.88,68.945984,60,5.3,1.0,2.3,-2.5,0.018000000000000002,0.068,0.21899999999999997,0.493,0.307,1999
44,10,PHX,32.0,182.88,68.945984,49,3.0,0.9,1.6,3.3,0.02,0.083,0.166,0.491,0.248,2000
45,10,MEM,33.0,182.88,68.0388,2,5.5,2.0,3.5,-42.0,0.0,0.11800000000000001,0.18100000000000002,0.506,0.389,2001
46,11,DEN,27.0,182.88,77.11064,9,2.4,0.4,1.2,-7.4,0.0,0.053,0.187,0.47,0.21600000000000003,1996
47,12,SEA,27.0,213.36,122.46983999999999,1,0.0,0.0,0.0,-147.5,0.0,0.0,0.126,0.0,0.0,1996
48,13,HOU,28.0,195.58,87.996848,13,5.0,1.7,2.0,6.6,0.011000000000000001,0.098,0.14400000000000002,0.565,0.191,1996
49,13,HOU,29.0,195.58,88.45044,45,4.1,1.0,1.3,-2.0,0.019,0.075,0.156,0.581,0.158,1997
50,13,SEA,31.0,195.58,88.45044,54,4.0,1.9,1.3,-2.0,0.023,0.131,0.17600000000000002,0.45799999999999996,0.162,1999
51,13,SEA,32.0,195.58,88.45044,62,5.8,2.5,2.2,0.6,0.026000000000000002,0.11599999999999999,0.15,0.527,0.162,2000
52,13,ATL,33.0,195.58,88.45044,28,6.6,2.6,2.4,-8.4,0.027999999999999997,0.076,0.151,0.449,0.145,2001
53,13,ATL,34.0,195.58,88.45044,24,3.7,1.8,1.5,-6.0,0.018000000000000002,0.12300000000000001,0.16699999999999998,0.45,0.188,2002
54,14,POR,34.0,190.5,80.28578399999998,3,1.3,1.0,1.0,-57.4,0.0,0.15,0.115,0.5,0.375,1996
55,15,VAN,31.0,210.82,120.20188,20,1.7,1.8,0.3,-3.9,0.044000000000000004,0.258,0.175,0.444,0.067,1996
56,16,VAN,27.0,210.82,106.59411999999999,28,2.6,2.1,0.5,-15.4,0.106,0.102,0.158,0.47200000000000003,0.076,1996
57,17,NJN,25.0,213.36,122.46983999999999,78,4.4,6.6,0.8,-6.6,0.107,0.20600000000000002,0.11199999999999999,0.452,0.05,1996
58,17,DET,26.0,213.36,122.46983999999999,48,2.9,4.1,0.2,-12.3,0.111,0.223,0.126,0.42700000000000005,0.025,1997
59,17,DET,27.0,213.36,122.46983999999999,46,2.1,3.0,0.3,2.2,0.098,0.201,0.094,0.505,0.042,1998
60,17,DET,28.0,213.36,122.46983999999999,51,0.8,1.4,0.1,-4.6,0.062,0.19,0.111,0.332,0.032,1999
61,17,TOR,29.0,213.36,122.46983999999999,54,2.2,3.2,0.4,-11.1,0.085,0.212,0.128,0.396,0.045,2000
