player_id,player_first_name,player_last_name,college,country,draft_year,draft_round,draft_number
1,DENNIS,RODMAN,SOUTHEASTERN OKLAHOMA STATE,USA,1986,2,27
2,DWAYNE,SCHINTZIUS,FLORIDA,USA,1990,1,24
3,EARL,CURETON,DETROIT MERCY,USA,1979,3,58
4,ED,O'BANNON,UCLA,USA,1995,1,9
5,ED,PINCKNEY,VILLANOVA,USA,1985,1,10
6,EDDIE,JOHNSON,ILLINOIS,USA,1981,2,29
7,EDDIE,JONES,TEMPLE,USA,1994,1,10
8,ELDEN,CAMPBELL,CLEMSON,USA,1990,1,27
9,ELDRIDGE,RECASNER,WASHINGTON,USA,1992,Undrafted,Undrafted
10,ELLIOT,PERRY,MEMPHIS,USA,1991,2,37
11,ELMER,BENNETT,NOTRE DAME,USA,1992,2,38
12,ELMORE,SPENCER,NEVADA-LAS VEGAS,USA,1992,1,25
13,EMANUAL,DAVIS,DELAWARE STATE,USA,Undrafted,Undrafted,Undrafted
14,ENNIS,WHATLEY,ALABAMA,USA,1983,1,13
15,ERIC,LECKNER,WYOMING,USA,1988,1,17
16,ERIC,MOBLEY,PITTSBURGH,USA,1994,1,18
17,ERIC,MONTROSS,NORTH CAROLINA,USA,1994,1,9
18,ERIC,MURDOCK,PROVIDENCE,USA,1991,1,21
19,ERIC,PIATKOWSKI,NEBRASKA,USA,1994,1,15
20,ERIC,SNOW,MICHIGAN STATE,USA,1995,2,43
21,ERIC,WILLIAMS,PROVIDENCE,USA,1995,1,14
22,ERICK,DAMPIER,MISSISSIPPI STATE,USA,1996,1,10
23,ERICK,STRICKLAND,NEBRASKA,USA,Undrafted,Undrafted,Undrafted
24,ERVIN,JOHNSON,NEW ORLEANS,USA,1993,1,23
25,DUANE,FERRELL,GEORGIA TECH,USA,Undrafted,Undrafted,Undrafted
26,DUANE,CAUSWELL,TEMPLE,USA,1990,1,18
27,DOUG,WEST,VILLANOVA,USA,1989,2,38
28,DOUG,OVERTON,LA SALLE,USA,1991,2,40
29,DELL,DEMPS,PACIFIC,USA,Undrafted,Undrafted,Undrafted
30,DENNIS,SCOTT,GEORGIA TECH,USA,1990,1,4
31,DEREK,FISHER,ARKANSAS-LITTLE ROCK,USA,1996,1,24
32,DEREK,HARPER,ILLINOIS,USA,1983,1,11
33,DEREK,STRONG,XAVIER,USA,1990,2,47
34,DERRICK,ALSTON,DUQUESNE,USA,1994,2,33
35,DERRICK,COLEMAN,SYRACUSE,USA,1990,1,1
36,DERRICK,MCKEY,ALABAMA,USA,1987,1,9
37,DETLEF,SCHREMPF,WASHINGTON,USA,1985,1,8
38,DEVIN,GRAY,CLEMSON,USA,1995,Undrafted,Undrafted
39,DEXTER,BONEY,NEVADA-LAS VEGAS,USA,Undrafted,Undrafted,Undrafted
40,EVRIC,GRAY,NEVADA-LAS VEGAS,USA,Undrafted,Undrafted,Undrafted
41,DICKEY,SIMPKINS,PROVIDENCE,USA,1994,1,21
42,DINO,RADJA,NONE,USA,1989,2,40
43,DOMINIQUE,WILKINS,GEORGIA,USA,1982,1,3
44,DON,MACLEAN,UCLA,USA,1992,1,19
45,DON,REID,GEORGETOWN,USA,1995,2,58
46,DONALD,ROYAL,NOTRE DAME,USA,1987,3,52
47,DONALD,WHITESIDE,NORTHERN ILLINOIS,USA,Undrafted,Undrafted,Undrafted
48,DONNIE,BOYCE,COLORADO,USA,1995,2,42
49,DONNY,MARSHALL,CONNECTICUT,USA,1995,2,39
50,DONTONIO,WINGFIELD,CINCINNATI,USA,1994,2,37
51,DONYELL,MARSHALL,CONNECTICUT,USA,1994,1,4
52,DOUG,CHRISTIE,PEPPERDINE,USA,1992,1,17
53,DIKEMBE,MUTOMBO,GEORGETOWN,Congo,1991,1,4
54,DELL,CURRY,VIRGINIA TECH,USA,1986,1,15
55,FELTON,SPENCER,LOUISVILLE,USA,1990,1,6
56,FRANKIE,KING,WESTERN CAROLINA,USA,1995,2,37
57,HORACIO,LLAMAS,GRAND CANYON,USA,Undrafted,Undrafted,Undrafted
58,HOT,ROD WILLIAMS,TULANE,USA,1985,2,45
59,HOWARD,EISLEY,BOSTON COLLEGE,USA,1994,2,30
60,HUBERT,DAVIS,NORTH CAROLINA,USA,1992,1,20
61,IKE,AUSTIN,ARIZONA STATE,USA,1991,2,48
62,ISAIAH,RIDER,NEVADA-LAS VEGAS,USA,1993,1,5
63,IVANO,NEWBILL,GEORGIA TECH,USA,1994,Undrafted,Undrafted
64,JACK,HALEY,UCLA,USA,1987,4,79
65,JALEN,ROSE,MICHIGAN,USA,1994,1,13
66,JAMAL,MASHBURN,KENTUCKY,USA,1993,1,4
67,JAMES,ROBINSON,ALABAMA,USA,1993,1,21
68,JAMES,SCOTT,ST. JOHN'S (NY),USA,Undrafted,Undrafted,Undrafted
69,JAMIE,FEICK,MICHIGAN STATE,USA,1996,2,48
70,JAMIE,WATSON,SOUTH CAROLINA,USA,1994,2,47
71,JAREN,JACKSON,GEORGETOWN,USA,Undrafted,Undrafted,Undrafted
72,JASON,CAFFEY,ALABAMA,USA,1995,1,20
73,JASON,KIDD,CALIFORNIA,USA,1994,1,2
74,JASON,SASSER,TEXAS TECH,USA,1996,2,41
75,JAYSON,WILLIAMS,ST. JOHN'S (NY),USA,1990,1,21
76,JEFF,GRAYER,IOWA STATE,USA,1988,1,13
77,JEFF,HORNACEK,IOWA STATE,USA,1986,2,46
78,JEFF,MCINNIS,NORTH CAROLINA,USA,1996,2,37
79,JERMAINE,O'NEAL,NONE,USA,1996,1,17
80,HORACE,GRANT,CLEMSON,USA,1987,1,10
81,HERSEY,HAWKINS,BRADLEY,USA,1988,1,6
82,HERB,WILLIAMS,OHIO STATE,USA,1981,1,14
83,HENRY,JAMES,ST. MARY'S (TX),USA,Undrafted,Undrafted,Undrafted
84,FRED,ROBERTS,BRIGHAM YOUNG,USA,1982,2,27
85,GARY,GRANT,MICHIGAN,USA,1988,1,15
86,GARY,PAYTON,OREGON STATE,USA,1990,1,2
87,GARY,TRENT,OHIO,USA,1995,1,11
88,GAYLON,NICKERSON,NORTHWESTERN OKLAHOMA,USA,1994,2,34
89,GEORGE,LYNCH,NORTH CAROLINA,USA,1993,1,12
90,GEORGE,MCCLOUD,FLORIDA STATE,USA,1989,1,7
91,GEORGE,ZIDEK,UCLA,USA,1995,1,22
92,GERALD,WILKINS,TENNESSEE-CHATTANOOGA,USA,1985,2,47
93,GHEORGHE,MURESAN,NONE,USA,1993,2,30
94,GLEN,RICE,MICHIGAN,USA,1989,1,4
95,FRANK,BRICKOWSKI,PENN STATE,USA,1981,3,57
96,GLENN,ROBINSON,PURDUE,USA,1994,1,1
97,GRANT,LONG,EASTERN MICHIGAN,USA,1988,2,33
98,GREG,ANDERSON,HOUSTON,USA,1987,1,23
99,GREG,ANTHONY,NEVADA-LAS VEGAS,USA,1991,1,12
100,GREG,DREILING,KANSAS,USA,1986,2,26
101,GREG,FOSTER,TEXAS-EL PASO,USA,1990,2,35
102,GREG,GRAHAM,INDIANA,USA,1993,1,17
103,GREG,MINOR,LOUISVILLE,USA,1994,1,25
